name,rating,address,description,openclose
Sightglass Coffee,4.5(608) · $$,3014 20th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
Silverstone Cafe,4.4(90) · $,3278 24th St #3926,Open ⋅ Closes 6 PM,
Simple Pleasures Cafe,4.6(439) · $,3434 Balboa St,Neighborhood coffee fixture since 1974,Open ⋅ Closes 9 PM · (415) 387-4022
Sisters Coffee Shop,4.1(98),920 Valencia St,Open ⋅ Closes 5 PM,
Snowbird Coffee,4.5(463) · $$,1352 9th Ave A,Open ⋅ Closes 1 PM,
South Beach Cafe,4.2(345) · $,800 The Embarcadero,Coffee shop & pizzeria,Open ⋅ Closes 8:30 PM
Souvenir Coffee,4.7(68),1415 Larkin St,Open ⋅ Closes 4 PM,
Souvenir Coffee,4.7(71),262 Divisadero St,Open ⋅ Closes 5 PM,
Spike's Coffees and Teas,4.6(269) · $,4117 19th St,Eco-friendly cafe,Open ⋅ Closes 5 PM
SPRO - Golden Gate   Polk,4.5(25),525 Golden Gate Ave,Open ⋅ Closes 5 PM,
SPRO - Mission Bay SOMA,4.7(267) · $$,601 Mission Bay Boulevard North,Outdoor stop for coffee drinks & eats,Open ⋅ Closes 4 PM
SPRO - Mission Dolores Castro,4.7(253),500 Church St,Minimalist cafe brewing craft coffee,Open ⋅ Closes 5 PM
Stable Cafe,4.6(844) · $$,2128 Folsom St,Coffeehouse in former carriage house,Closed ⋅ Opens 8 AM Tue
Stanza Coffee Bar,4.2(204) · $,1673 Haight St,Upbeat nook serving espresso & pastries,Open ⋅ Closes 3 PM
Starbucks,4.2(393) · $$,1 Letterman Dr Building C,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Starbucks,4.2(163) · $$,100 1st St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM · (415) 896-5044
Starbucks,4.0(438) · $$,1560 Van Ness Ave,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Starbucks,4.2(173) · $$,1700 Owens St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM · (415) 252-7423
Starbucks,4.5(502) · $$,201 Mission St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Starbucks,4.1(329) · $$,350 Rhode Island St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM · (415) 864-6383
Starbucks,3.8(243) · $$,359 Grant Ave,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6:30 PM · (415) 392-2365
Starbucks,4.1(881) · $$,3595 California St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 10 PM · (415) 387-2249
Starbucks,4.2(190) · $$,425 Battery St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5 PM
Starbucks,4.1(446) · $$,49 Jefferson St P,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM · (415) 788-0173
Starbucks,3.7(770) · $$,499 Bay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Starbucks,3.8(30) · $$,555 California Street B of A,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 4 PM · (415) 788-8670
Starbucks,4.1(457) · $$,565 Clay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Starbucks,4.2(205) · $$,580 California St #150,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Starbucks,3.8(255) · $$,780 Market St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Starbucks,3.8(272) · $$,789 Mission St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Starbucks,4.1(495) · $$,865 Market Street San Francisco Centre,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7:30 PM
Starbucks,3.8(193) · $$,99 Jackson St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5 PM
Starbucks,3.9(481) · $$,"Fox Plaza, 1390 Market St",Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM
Starbucks,3.9(365) · $$,"Levi's Plaza, 1255 Battery St",Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM
Sutter Street Cafe,4.7(112),450 Sutter St #7,Small sandwich shop with coffee & sweets,Open ⋅ Closes 4 PM
Sweetheart Cafe,4.2(210) · $,909 Grant Ave,Light Asian bites & sweet treats,Open ⋅ Closes 6 PM
Tallio's Coffee & Tea,4.7(42) · $,4732 3rd St,Open ⋅ Closes 4 PM,
Tarragon Cafe,4.6(112),200 Fillmore St,Open ⋅ Closes 5 PM,Open ⋅ Closes 7 PM
Taylor Street Coffee Shop,"4.6(1,509) · $$",375 Taylor St,Cozy option for breakfast & lunch,Open ⋅ Closes 1 PM
Telescope Coffee,4.8(135),345 6th St,Casual hub for treats & creative coffees,Open ⋅ Closes 4 PM
The Brazilian Spot (formerly Cafe Valencia),4.5(162),1252 Valencia St,Local market for Brazilian groceries,Open ⋅ Closes 6 PM
The Coffee Movement,4.8(738) · $,1030 Washington St,"Snug, minimalist cafe for artisan brews",Open ⋅ Closes 4 PM
The Crêpe Café,4.2(545) · $$,333 Jefferson St UNIT 5A,Chill spot for sweet & savory crepes,
The Fresh Cup,4.6(40),798 S Van Ness Ave,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri,Open ⋅ Closes 4 PM
The Grind,4.3(540) · $$,783 Haight St,American breakfasts & burgers,Open ⋅ Closes 4 PM
The Grove - Yerba Buena,"4.4(3,663) · $$",690 Mission St,Comfort food served in rustic surrounds,Open ⋅ Closes 8:30 PM · (415) 655-9194
The Law Café,4.7(7),200 McAllister St,Open ⋅ Closes 3 PM,
The Little Spot Cafe,4.7(113) · $,1199 S Van Ness Ave,Eclectic coffee shop with light bites,Open ⋅ Closes 7 PM
The Market Cafe,4.2(40),1355 Market St,Open ⋅ Closes 5 PM,
The Mill,"4.5(1,778) · $$",736 Divisadero St,Airy coffee shop with breads & pastries,Open ⋅ Closes 5 PM
The Morning Fix,4.6(68) · $,1008 Bush St,"Pit stop for coffee, bagels & sandwiches",Open ⋅ Closes 2 PM · (415) 875-9598
The Richfield,4.6(179) · $,195 5th Ave,Hip nook for coffee & cafe fare,Closed ⋅ Opens 8 AM Tue
Tu Kim Coffee Shop,3.8(30),609 Ellis St,Open ⋅ Closes 5 PM,Open ⋅ Closes 5 PM
Turn Cafe,3.9(86) · $$,7 Powell St,American fare in modern quarters,Open ⋅ Closes 9 PM
Twisted St. Cafe,4.7(204) · $$,2320 Lombard St,Low-key cafe serving classic fare,Open ⋅ Closes 4 PM
Unexpected Era Café,4.8(43),614 Polk St,Open ⋅ Closes 2:30 PM,
Union Square Coffee,3.5(31),350 Powell St,Standard cafe with light fare & wine,Open ⋅ Closes 3 PM
Urban Ritual Cafe,4.4(359) · $,488 Fell St,Craft tea & coffee shop with snacks,Closed ⋅ Opens 12 PM
Verve Coffee Roasters,4.4(679) · $$,2101 Market St,Modern coffeehouse with artisanal blends,Open ⋅ Closes 6 PM
Viva Cafe,4.9(80),601 Montgomery St,Open ⋅ Closes 5 PM,
Wake Cup,4.5(68) · $$,1476 Haight St,Open ⋅ Closes 4 PM,
WFM Coffee Bar,3.8(6) · $$,690 Stanyan St,Open ⋅ Closes 8 PM,
Wooden Coffeehouse,4.6(192),862 Cole St,Open ⋅ Closes 5 PM · (415) 742-4887,
Wooly Pig,4.7(277) · $,2295 3rd St,Open ⋅ Closes 9 PM · (415) 592-8015,
Working Girls' Cafe,4.4(76) · $$,101 Mission St,Outpost for breakfast & lunch staples,Open ⋅ Closes 6 PM
Wrecking Ball Coffee Roasters,4.4(511) · $$,2271 Union St,House-roasted coffee blends & pastries,Open ⋅ Closes 2 PM
YakiniQ CAFE,4.7(19) · $$,1640 Post St 1st floor,Closed ⋅ Opens 11 AM Tue,
Yu’s Cafe,4.4(32) · $,57 Walter U Lum Pl,Open ⋅ Closes 10 PM,Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri
Z & Y Restaurant,"4.0(2,410) · $$",655 Jackson St,Spicy takes on Chinese favorites,Opens soon ⋅ 11:30 AM
