Beacon Coffee & Pantry,4.3(403) · $$,805 Columbus Ave,Artisanal coffee shop & specialty market,Open ⋅ Closes 2 PM · (415) 814-2551
Gallery Cafe,4.6(257) · $,1200 Mason St,Temporarily closed · (415) 296-9932,
Caffe Capriccio,4.6(235) · $,2200 Mason St,Relaxed spot for sandwiches & salads,Open ⋅ Closes 4 PM
Grand Coffee,4.7(159) · $,2663 Mission St,"Locally sourced coffee, tea & pastries",Open ⋅ Closes 5 PM
Sightglass Coffee,"4.5(2,844) · $$",270 7th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM · (415) 861-1313
Red Bay Coffee Ferry Building,4.0(174),"1, Ferry Building, Shop 43",Open ⋅ Closes 6 PM,
Biscoff Coffee Corner,4.3(729) · $$,213 Pier 39,Snug cafe with pastries & smoothies,Open ⋅ Closes 10 PM · (415) 393-9554
Mazarine Coffee,"4.5(1,514) · $$",720 Market St,Stylish cafe for espresso & light bites,Open ⋅ Closes 3 PM
Foghorn Coffee,3.6(33),900 North Point St Suite E204B,Open ⋅ Closes 7 PM · (650) 776-6205,
Cafe Franco,4.8(45),240 Funston Rd,Open ⋅ Closes 3 PM · (415) 771-2268,
Goody Cafe,4.4(76),"Landmark Building C, 2 Marina Blvd",Open ⋅ Closes 5 PM,
Wrecking Ball Coffee Roasters,4.4(511) · $$,2271 Union St,House-roasted coffee blends & pastries,Open ⋅ Closes 2 PM · (415) 638-9227
Philz Coffee,"4.5(1,226) · $$",1 Front St #100,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM · (415) 568-2535
Rise & Grind Coffee and Tea,4.5(373) · $,785 8th Ave,"Modern cafe for coffee, tea & pastries",Open ⋅ Closes 5 PM · (415) 780-1579
Compton’s Coffee House,4.8(166),1910 Fillmore St,Open ⋅ Closes 5 PM · (415) 416-6173,
Fueling Station Cafe,4.6(213) · $,2436 Polk St,"Cafe for banh mi, waffles & coffee",Open ⋅ Closes 5 PM · (415) 757-0464
Starbucks,3.7(769) · $$,499 Bay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM · (415) 409-1847
Ritual Coffee Roasters,4.5(457) · $$,432b Octavia St,Coffeehouse using small-farm beans,Open ⋅ Closes 6 PM · (415) 865-0989
CoffeeSmith,4.8(39),401 Golden Gate Ave,Open ⋅ Closes 2:30 PM · (415) 730-9496,
Lady Falcon Coffee Club,4.3(88),Park,Vintage coffee truck for espresso drinks,Open ⋅ Closes 4 PM · (415) 347-7507
Bluestone Lane Union Square Coffee Shop,4.2(348) · $$,685 Market St,Airy spot for coffee & all-day eats,Open ⋅ Closes 2 PM · (718) 374-6858
First Cup Café,4.4(51),2911 Van Ness Ave,Open ⋅ Closes 4 PM · (415) 922-2054,
HITW Coffee,4.7(198) · $,524 Union St,Closed ⋅ Opens 9 AM Sat · (415) 810-2092,
Philz Coffee,4.4(616) · $$,399 Golden Gate Ave,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM · (415) 621-7000
Abanico Coffee Roasters,4.8(141) · $,2121 Mission St,Easygoing cafe for Latin American drinks,Open ⋅ Closes 4 PM · (415) 896-4678
Royal Ground Coffee,4.5(225) · $,2216 Polk St,Coffee shop with beer & snacks,Open ⋅ Closes 6 PM
Blue Bottle Coffee,"4.5(1,171) · $$",115 Sansome St,Hip cafe for gourmet pastries & coffee,Open ⋅ Closes 5 PM · (510) 653-3394
CoffeeShop,4.7(233) · $,3139 Mission St,Locally roasted beans & sweet treats,Open ⋅ Closes 4 PM · (415) 368-3802
Blue Bottle Coffee,4.6(803) · $$,315 Linden St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 7 PM · (510) 653-3394
Farley's Coffeehouse,4.6(568) · $,1315 18th St,Contemporary cafe for baked fare & lunch,Open ⋅ Closes 6 PM · (415) 648-1545
Sightglass Coffee,4.4(475) · $$,301 Divisadero St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM · (415) 522-0112
Four Barrel Coffee,"4.5(2,392) · $$",375 Valencia St,Sophisticated drip coffee drinks & more,Open ⋅ Closes 5 PM · (415) 896-4289
Pat's Cafe,"4.5(1,324) · $$",2330 Taylor St,American eatery with a laid-back brunch,Open ⋅ Closes 2 PM · (415) 776-8735
Muddy Waters Coffee House,4.1(292) · $,521 Valencia St,No-frills coffee shop,Open ⋅ Closes 3 PM · (415) 863-8006
Bluestone Lane Theatre District Coffee Shop,4.1(107) · $$,562 Sutter St,Open ⋅ Closes 2 PM · (718) 374-6858,
Blue Bottle Coffee,4.3(198) · $$,199 Sutter St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5:30 PM · (510) 653-3394
SPRO - Mission Dolores Castro,4.7(251),500 Church St,Minimalist cafe brewing craft coffee,Open ⋅ Closes 5 PM · (415) 828-3106
Linea Caffe,4.5(333) · $$,3417 18th St,Snug cafe offering organic coffees,Open ⋅ Closes 2 PM · (415) 590-3011
Home Coffee Roasters,4.6(553) · $$,1222 Noriega St,Modern space for creative lattes & toast,Open ⋅ Closes 4 PM · (415) 683-5943
Peet's Coffee,4.2(225) · $,160 Jefferson St,Coffeehouse chain also known for its tea,Open ⋅ Closes 9 PM · (415) 928-1849
The Morning Fix,4.6(68) · $,1008 Bush St,"Pit stop for coffee, bagels & sandwiches",Open ⋅ Closes 2 PM · (415) 875-9598
Red Bay Coffee,No reviews,650 California St,Temporarily closed,
Souvenir Coffee,4.7(70),262 Divisadero St,Open ⋅ Closes 5 PM · (415) 796-3259,
Stanza Coffee Bar,4.2(204) · $,1673 Haight St,Upbeat nook serving espresso & pastries,Open ⋅ Closes 3 PM · (415) 529-1592
BeanStalk Cafe,4.5(591) · $,724 Bush St,Intimate spot for coffee & global bites,Open ⋅ Closes 2:30 PM · (415) 576-1966
Cafe Cafe San Francisco Coffee Company,No reviews,388 9th St,Open ⋅ Closes 2 PM,
Starbucks,3.8(30) · $$,555 California Street B of A,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 3:30 PM · (415) 788-8670
Matching Half,4.5(380) · $$,1799 McAllister St,Arty coffee shop with light fare,Open ⋅ Closes 3 PM · (415) 674-8699
Fillmore Street Cafe,4.2(153) · $,1301 Fillmore St,Casual cafe for deli sandwiches & salads,Open ⋅ Closes 9 PM · (415) 749-0987
Hollywood Cafe,"4.5(2,153) · $$",530 North Point St,Cinema-themed cafe,Open ⋅ Closes 2 PM · (415) 563-3779
Cafe International,4.5(404) · $,508 Haight St,Hybrid coffeehouse & live music hangout,Open ⋅ Closes 4:30 PM · (415) 552-7390
Müesi Cafe,4.5(123),2055 Union St Suite B,Open ⋅ Closes 5:30 PM · (415) 875-9631,
BeanStalk Cafe,4.5(591) · $,724 Bush St,Intimate spot for coffee & global bites,Open ⋅ Closes 2:30 PM · (415) 576-1966
Starbucks,3.8(30) · $$,555 California Street B of A,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 3:30 PM · (415) 788-8670
Capital One Café,4.3(193) · $,101 Post St,Modern coffeehouse with free WiFi,Open ⋅ Closes 6 PM · (415) 248-4920
SPRO - Mission Dolores Castro,4.7(251),500 Church St,Minimalist cafe brewing craft coffee,Open ⋅ Closes 5 PM · (415) 828-3106
Linea Caffe,4.5(333) · $$,3417 18th St,Snug cafe offering organic coffees,Open ⋅ Closes 2 PM · (415) 590-3011
Peet's Coffee,4.2(225) · $,160 Jefferson St,Coffeehouse chain also known for its tea,Open ⋅ Closes 9 PM · (415) 928-1849
Panini Coffee Patries,No reviews,43 O'Farrell St,Open ⋅ Closes 4 PM,
Souvenir Coffee,4.7(70),262 Divisadero St,Open ⋅ Closes 5 PM · (415) 796-3259,
Cafe Le,4.7(69),2895 Van Ness Ave,Open ⋅ Closes 2:30 PM · (415) 771-6353,
Another Cafe,4.4(456) · $,1191 Pine St,Airy spot for coffee & panini sandwiches,Open ⋅ Closes 8 PM · (415) 857-5770
Hyatt Coffee Bar,3.7(32),345 Stockton St,Modern hotel lobby cafe with free Wi-Fi,Closes soon ⋅ 1 PM ⋅ Opens 6:30 AM Sat · (415) 398-1234
Peet's Coffee,4.3(189) · $,2139 C Polk St,Coffeehouse chain also known for its tea,Open ⋅ Closes 6 PM · (415) 474-1871
Blue Bottle Coffee,4.5(261) · $$,168 2nd St,Hip cafe chain for coffee & pastries,Open ⋅ Closes 5 PM · (510) 653-3394
SPRO - Mission Bay SOMA,4.7(265) · $$,601 Mission Bay Boulevard North,Outdoor stop for coffee drinks & eats,Open ⋅ Closes 4 PM · (415) 971-7908
Cafe International,4.5(404) · $,508 Haight St,Hybrid coffeehouse & live music hangout,Open ⋅ Closes 4:30 PM · (415) 552-7390
Fillmore Street Cafe,4.2(153) · $,1301 Fillmore St,Casual cafe for deli sandwiches & salads,Open ⋅ Closes 9 PM · (415) 749-0987
Pat's Cafe,"4.5(1,324) · $$",2330 Taylor St,American eatery with a laid-back brunch,Open ⋅ Closes 2 PM · (415) 776-8735
Peet's Coffee,4.2(710) · $,773 Market St,Coffeehouse chain also known for its tea,Open ⋅ Closes 7 PM · (415) 530-2559
Enter The Cafe,4.4(106) · $,1401 Powell St,Bright corner coffee shop with ice cream,Open ⋅ Closes 7 PM · (415) 829-7918
Peet's Coffee,4.2(153) · $,595 Market St Suite 143,Coffeehouse chain also known for its tea,Open ⋅ Closes 4 PM · (415) 655-2640
Iron Horse Coffee Shop,4.5(109) · $,25 Maiden Ln,"Snug, modern coffee shop",Open ⋅ Closes 2:30 PM · (415) 404-2877
Starbucks,3.9(509) · $$,390 Stockton St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 8 PM · (415) 989-1637
Mymy,"4.5(1,615) · $$",1500 California St,Bright corner spot for big breakfasts,Open ⋅ Closes 2 PM · (415) 800-7466
Blue Bottle Coffee,4.4(553) · $$,2453 Fillmore St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 7 PM · (510) 653-3394
Souvenir Coffee,4.7(66),1415 Larkin St,Open ⋅ Closes 4 PM · (415) 814-2776,
Starbucks,4.2(190) · $$,425 Battery St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5 PM · (415) 445-9030
Blue Bottle Coffee,4.3(199) · $$,705 Market St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM · (510) 653-3394
Cafe Encore,4.2(141) · $$,488 Post St,Open ⋅ Closes 7 PM · (415) 433-6549,
Flywheel Coffee Roasters,4.5(957),672 Stanyan St,Minimalist spot for hand-roasted java,Open ⋅ Closes 6 PM · (415) 682-4023
Réveille Coffee Co.,3.8(4),768 Sansome St,Temporarily closed · (415) 786-6258,
Cup A Joe Coffeehouse,4.3(353) · $,896 Sutter St,Laid-back neighborhood coffee shop,Open ⋅ Closes 7 PM · (415) 563-7745
Bluestone Lane SOMA Coffee Shop,4.3(79) · $$,55 2nd St,Open ⋅ Closes 3 PM · (718) 374-6858,
Peet's Coffee,3.8(24) · $,155 Montgomery St #161,Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM · (415) 576-8810
Starbucks,4.1(442) · $$,49 Jefferson St P,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM · (415) 788-0173
Verve Coffee Roasters,4.4(677) · $$,2101 Market St,Modern coffeehouse with artisanal blends,Open ⋅ Closes 6 PM · (415) 780-0867
Starbucks,4.1(457) · $$,565 Clay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM · (415) 834-0578
Coffee Bar-Kearny,5.0(19),433 Kearny St,Casual cafe with carefully sourced beans,Closed ⋅ Opens 7 AM Mon
Milk-SF,4.7(76),302 Valencia St,Open ⋅ Closes 5 PM,
Peet's Coffee,4.3(146) · $,"Two Embarcadero Center, Front Street Suite R2113",Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM · (415) 869-1744
Alfred at the LINE SF,4.2(17),33 Turk St,Closes soon ⋅ 1:30 PM ⋅ Opens 7 AM Sat,
Philz Coffee,"4.6(1,361) · $$",3101 24th St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM · (415) 875-9370
Latte Express,4.5(66),434 Beach St,Open ⋅ Closes 4 PM · (415) 775-4293,
Cafe Isabella,4.6(190) · $,1414 Taylor St,Cozy coffee shop & breakfast spot,Open ⋅ Closes 3 PM · (415) 378-3241
Bluestone Lane Front Street Coffee Shop,4.3(134) · $$,227 Front St,Open ⋅ Closes 3 PM · (718) 374-6858,
Caffe Central,4.3(651) · $$,133 O'Farrell St,Gourmet roasts in a cool coffee shop,Open ⋅ Closes 6 PM · (415) 374-2000
Starbucks,4.2(207) · $$,580 California St #150,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM · (415) 792-2732
Equator Coffees,4.4(348) · $$,2 Marina Blvd,"Hip spot for coffee, tea & light eats",Open ⋅ Closes 5 PM · (415) 720-1461
Starbucks,4.0(346) · $$,2165 Polk St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM · (415) 921-1351
Starbucks,3.8(243) · $$,359 Grant Ave,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6:30 PM · (415) 392-2365
Snowbird Coffee,4.5(465) · $$,1352 9th Ave A,Closes soon ⋅ 1 PM ⋅ Opens 8 AM Sat,
